member_id,name,party,state,district,cook_pvi,vote_position,house_dist
A000374,Ralph Abraham,R,LA,5,R+15,Yes,LA-05
A000370,Alma Adams,D,NC,12,D+18,No,NC-12
A000055,Robert B. Aderholt,R,AL,4,R+30,Yes,AL-04
A000371,Pete Aguilar,D,CA,31,D+8,No,CA-31
A000372,Rick Allen,R,GA,12,R+9,Yes,GA-12
A000376,Colin Allred,D,TX,32,R+5,No,TX-32
A000367,Justin Amash,R,MI,3,NA,No,MI-03
A000369,Mark Amodei,R,NV,2,R+7,Yes,NV-02
A000377,Kelly Armstrong,R,ND,1,R+16,Yes,ND-01
A000375,Jodey Arrington,R,TX,19,R+27,Yes,TX-19
A000378,Cynthia Axne,D,IA,3,R+1,Yes,IA-03
B001291,Brian Babin,R,TX,36,R+26,Yes,TX-36
B001298,Don Bacon,R,NE,2,R+4,Yes,NE-02
B001307,James Baird,R,IN,4,R+17,Yes,IN-04
B001306,Troy Balderson,R,OH,12,R+7,Yes,OH-12
B001299,Jim Banks,R,IN,3,R+18,Yes,IN-03
B001282,Andy Barr,R,KY,6,R+9,Yes,KY-06
B001300,Nanette BarragÃ¡n,D,CA,44,D+35,No,CA-44
B001270,Karen Bass,D,CA,37,D+37,No,CA-37
B001281,Joyce Beatty,D,OH,3,D+19,No,OH-03
B001287,Ami Bera,D,CA,7,D+3,No,CA-07
B001301,Jack Bergman,R,MI,1,R+9,Yes,MI-01
B001292,Donald Beyer,D,VA,8,R+6,No,VA-08
B001302,Andy Biggs,R,AZ,5,R+15,Yes,AZ-05
B001257,Gus Bilirakis,R,FL,12,R+8,Yes,FL-12
B000490,Sanford D. Bishop Jr.,D,GA,2,D+6,No,GA-02
B001250,Rob Bishop,R,UT,1,R+26,Yes,UT-01
B000574,Earl Blumenauer,D,OR,3,D+24,No,OR-03
B001303,Lisa Blunt Rochester,D,DE,1,D+6,No,DE-01
B001278,Suzanne Bonamici,D,OR,1,D+9,No,OR-01
B001295,Mike Bost,R,IL,12,R+5,Yes,IL-12
B001296,Brendan Boyle,D,PA,2,D+25,No,PA-02
B000755,Kevin Brady,R,TX,8,R+28,Yes,TX-08
B001308,Anthony Brindisi,D,NY,22,R+6,Yes,NY-22
B001274,Mo Brooks,R,AL,5,R+18,Yes,AL-05
B001284,Susan Brooks,R,IN,5,R+9,Yes,IN-05
B001304,Anthony Brown,D,MD,4,D+28,No,MD-04
B001285,Julia Brownley,D,CA,26,D+7,No,CA-26
B001260,Vern Buchanan,R,FL,16,R+7,Yes,FL-16
B001297,Ken Buck,R,CO,4,R+13,Yes,CO-04
B001275,Larry Bucshon,R,IN,8,R+15,Yes,IN-08
B001305,Ted Budd,R,NC,13,R+6,Yes,NC-13
B001309,Tim Burchett,R,TN,2,R+20,Yes,TN-02
B001248,Michael C. Burgess,R,TX,26,R+18,Yes,TX-26
B001286,Cheri Bustos,D,IL,17,D+3,No,IL-17
B001251,G. K. Butterfield,D,NC,1,D+17,No,NC-01
B001289,Bradley Byrne,R,AL,1,R+15,Yes,AL-01
C000059,Ken Calvert,R,CA,42,R+9,Yes,CA-42
C001112,Salud Carbajal,D,CA,24,D+7,No,CA-24
C001097,Tony CÃ¡rdenas,D,CA,29,D+29,No,CA-29
C001072,AndrÃ© Carson,D,IN,7,D+11,No,IN-07
C001103,Buddy Carter,R,GA,1,R+9,Yes,GA-01
C001051,John Carter,R,TX,31,R+10,Yes,TX-31
C001090,Matt Cartwright,D,PA,8,R+1,No,PA-08
C001055,Ed Case,D,HI,1,D+17,No,HI-01
C001117,Sean Casten,D,IL,6,R+2,No,IL-06
C001066,Kathy Castor,D,FL,14,D+7,No,FL-14
C001091,JoaquÃ­n Castro,D,TX,20,D+10,No,TX-20
C000266,Steven J. Chabot,R,OH,1,R+5,Yes,OH-01
C001109,Liz Cheney,R,WY,1,R+25,Yes,WY-01
C001080,Judy Chu,D,CA,27,D+16,No,CA-27
C001084,David Cicilline,D,RI,1,D+14,No,RI-01
C001123,Gilbert Cisneros,D,CA,39,EVEN,No,CA-39
C001101,Katherine Clark,D,MA,5,D+18,No,MA-05
C001067,Yvette D. Clarke,D,NY,9,D+34,No,NY-09
C001049,William Lacy Clay,D,MO,1,D+29,No,MO-01
C001061,Emanuel Cleaver II,D,MO,5,D+7,No,MO-05
C001118,Ben Cline,R,VA,6,R+6,Yes,VA-06
C001115,Michael Cloud,R,TX,27,R+13,Yes,TX-27
C000537,James E. Clyburn,D,SC,6,D+19,No,SC-06
C001068,Steve Cohen,D,TN,9,D+28,No,TN-09
C001053,Tom Cole,R,OK,4,R+20,Yes,OK-04
C001093,Doug Collins,R,GA,9,R+31,Yes,GA-09
C001092,Chris Collins,R,NY,27,R+11,Yes,NY-27
C001108,James Comer,R,KY,1,R+23,Yes,KY-01
C001062,K. Michael Conaway,R,TX,11,R+32,Yes,TX-11
C001078,Gerald E. Connolly,D,VA,11,D+1,No,VA-11
C001094,Paul Cook,R,CA,8,R+9,Yes,CA-08
C000754,Jim Cooper,D,TN,5,D+7,No,TN-05
C001110,J. Luis Correa,D,CA,46,D+15,No,CA-46
C001059,Jim Costa,D,CA,16,D+9,Yes,CA-16
C001069,Joe Courtney,D,CT,2,D+3,No,CT-02
C001124,TJ Cox,D,CA,21,D+5,No,CA-21
C001119,Angie Craig,D,MN,2,R+2,Yes,MN-02
C001087,Rick Crawford,R,AR,1,R+17,Yes,AR-01
C001120,Dan Crenshaw,R,TX,2,R+11,Yes,TX-02
C001111,Charlie Crist,D,FL,13,D+2,Yes,FL-13
C001121,Jason Crow,D,CO,6,D+2,No,CO-06
C001063,Henry Cuellar,D,TX,28,D+9,No,TX-28
C000984,Elijah E. Cummings,D,MD,7,D+26,No,MD-07
C001122,Joe Cunningham,D,SC,1,R+10,Yes,SC-01
C001114,John Curtis,R,UT,3,R+25,Yes,UT-03
D000629,Sharice Davids,D,KS,3,R+4,No,KS-03
D000626,Warren Davidson,R,OH,8,R+17,Yes,OH-08
D000598,Susan A. Davis,D,CA,53,D+14,No,CA-53
D000096,Danny K. Davis,D,IL,7,D+38,No,IL-07
D000619,Rodney Davis,R,IL,13,R+3,Yes,IL-13
D000631,Madeleine Dean,D,PA,4,D+7,No,PA-04
D000191,Peter A. DeFazio,D,OR,4,EVEN,No,OR-04
D000197,Diana DeGette,D,CO,1,D+21,No,CO-01
D000216,Rosa DeLauro,D,CT,3,D+9,No,CT-03
D000617,Suzan K. DelBene,D,WA,1,D+6,No,WA-01
D000630,Antonio Delgado,D,NY,19,R+2,Yes,NY-19
D000627,Val Demings,D,FL,10,D+11,No,FL-10
D000623,Mark DeSaulnier,D,CA,11,D+21,No,CA-11
D000616,Scott DesJarlais,R,TN,4,R+20,Yes,TN-04
D000610,Ted Deutch,D,FL,22,D+6,No,FL-22
D000600,Mario Diaz-Balart,R,FL,25,R+4,Yes,FL-25
D000624,Debbie Dingell,D,MI,12,D+14,No,MI-12
D000399,Lloyd Doggett,D,TX,35,D+15,No,TX-35
D000482,Mike Doyle,D,PA,18,D+13,No,PA-18
D000614,Sean Duffy,R,WI,7,R+8,Yes,WI-07
D000615,Jeffrey Duncan,R,SC,3,R+19,Yes,SC-03
D000628,Neal Dunn,R,FL,2,R+18,Yes,FL-02
E000294,Tom Emmer,R,MN,6,R+12,Yes,MN-06
E000179,Eliot L. Engel,D,NY,16,D+24,No,NY-16
E000299,Veronica Escobar,D,TX,16,D+17,No,TX-16
E000215,Anna G. Eshoo,D,CA,18,D+23,No,CA-18
E000297,Adriano Espaillat,D,NY,13,D+43,No,NY-13
E000298,Ron Estes,R,KS,4,R+15,Yes,KS-04
E000296,Dwight Evans,D,PA,3,D+41,No,PA-03
F000465,A. Drew Ferguson,R,GA,3,R+18,Yes,GA-03
F000467,Abby Finkenauer,D,IA,1,D+1,Yes,IA-01
F000466,Brian Fitzpatrick,R,PA,1,R+1,Yes,PA-01
F000459,Chuck Fleischmann,R,TN,3,R+18,Yes,TN-03
F000468,Lizzie Fletcher,D,TX,7,R+7,No,TX-07
F000461,Bill Flores,R,TX,17,R+12,Yes,TX-17
F000449,Jeff Fortenberry,R,NE,1,R+11,Yes,NE-01
F000454,Bill Foster,D,IL,11,D+9,No,IL-11
F000450,Virginia Foxx,R,NC,5,R+10,Yes,NC-05
F000462,Lois Frankel,D,FL,21,D+9,Not Voting,FL-21
F000455,Marcia L. Fudge,D,OH,11,D+32,No,OH-11
F000469,Russ Fulcher,R,ID,1,R+21,Yes,ID-01
G000571,Tulsi Gabbard,D,HI,2,D+19,No,HI-02
G000578,Matt Gaetz,R,FL,1,R+22,Yes,FL-01
G000579,Mike Gallagher,R,WI,8,R+7,Yes,WI-08
G000574,Ruben Gallego,D,AZ,7,D+23,No,AZ-07
G000559,John Garamendi,D,CA,3,D+5,No,CA-03
G000586,JesÃºs GarcÃ­a,D,IL,4,D+33,No,IL-04
G000587,Sylvia Garcia,D,TX,29,D+19,No,TX-29
G000584,Greg Gianforte,R,MT,1,R+11,Yes,MT-01
G000563,Bob Gibbs,R,OH,7,R+12,Yes,OH-07
G000552,Louie Gohmert,R,TX,1,R+25,Yes,TX-01
G000592,Jared Golden,D,ME,2,R+2,Yes,ME-02
G000585,Jimmy Gomez,D,CA,34,D+35,No,CA-34
G000588,Anthony Gonzalez,R,OH,16,R+8,Yes,OH-16
G000581,Vicente Gonzalez,D,TX,15,D+7,No,TX-15
G000589,Lance Gooden,R,TX,5,R+16,Yes,TX-05
G000565,Paul Gosar,R,AZ,4,R+21,Not Voting,AZ-04
G000583,Josh Gottheimer,D,NJ,5,R+3,Yes,NJ-05
G000377,Kay Granger,R,TX,12,R+18,Yes,TX-12
G000560,Tom Graves,R,GA,14,R+27,Yes,GA-14
G000577,Garret Graves,R,LA,6,R+19,Yes,LA-06
G000546,Sam Graves,R,MO,6,R+16,Yes,MO-06
G000590,Mark Green,R,TN,7,R+20,Yes,TN-07
G000553,Al Green,D,TX,9,D+29,No,TX-09
G000568,Morgan Griffith,R,VA,9,D+21,Yes,VA-09
G000551,RaÃºl M. Grijalva,D,AZ,3,D+13,No,AZ-03
G000576,Glenn Grothman,R,WI,6,R+8,Yes,WI-06
G000591,Michael Guest,R,MS,3,R+13,Yes,MS-03
G000558,Brett Guthrie,R,KY,2,R+19,Yes,KY-02
H001080,Debra Haaland,D,NM,1,D+7,No,NM-01
H001088,Jim Hagedorn,R,MN,1,R+5,Yes,MN-01
H001090,Josh Harder,D,CA,10,EVEN,No,CA-10
H001052,Andy Harris,R,MD,1,R+14,Yes,MD-01
H001053,Vicky Hartzler,R,MO,4,R+17,Yes,MO-04
H000324,Alcee L. Hastings,D,FL,20,D+31,No,FL-20
H001081,Jahana Hayes,D,CT,5,D+2,No,CT-05
H001064,Denny Heck,D,WA,10,D+5,No,WA-10
H001082,Kevin Hern,R,OK,1,R+17,Yes,OK-01
H001056,Jaime Herrera Beutler,R,WA,3,R+4,Yes,WA-03
H001071,Jody Hice,R,GA,10,R+15,Yes,GA-10
H001077,Clay Higgins,R,LA,3,R+20,Yes,LA-03
H001038,Brian Higgins,D,NY,26,D+11,No,NY-26
H001072,French Hill,R,AR,2,R+7,Yes,AR-02
H001087,Katie Hill,D,CA,25,EVEN,No,CA-25
H001047,Jim Himes,D,CT,4,D+7,No,CT-04
H001065,George Holding,R,NC,2,R+7,Yes,NC-02
H001074,Trey Hollingsworth,R,IN,9,R+13,Yes,IN-09
H001083,Kendra Horn,D,OK,5,R+10,Yes,OK-05
H001066,Steven Horsford,D,NV,4,D+3,No,NV-04
H001085,Chrissy Houlahan,D,PA,6,D+2,No,PA-06
H000874,Steny H. Hoyer,D,MD,5,D+16,No,MD-05
H001067,Richard Hudson,R,NC,8,R+8,Yes,NC-08
H001068,Jared Huffman,D,CA,2,D+22,No,CA-02
H001058,Bill Huizenga,R,MI,2,R+9,Yes,MI-02
H001048,Duncan D. Hunter,R,CA,50,R+11,Yes,CA-50
H001073,Will Hurd,R,TX,23,R+1,Yes,TX-23
J000032,Sheila Jackson Lee,D,TX,18,D+27,No,TX-18
J000298,Pramila Jayapal,D,WA,7,D+33,No,WA-07
J000294,Hakeem Jeffries,D,NY,8,D+36,No,NY-08
J000288,Hank Johnson,D,GA,4,D+24,No,GA-04
J000299,Mike Johnson,R,LA,4,R+13,Yes,LA-04
J000292,Bill Johnson,R,OH,6,R+16,Yes,OH-06
J000301,Dusty Johnson,R,SD,1,R+14,Yes,SD-01
J000126,Eddie Bernice Johnson,D,TX,30,D+29,No,TX-30
J000289,Jim Jordan,R,OH,4,R+14,Yes,OH-04
J000295,Dave Joyce,R,OH,14,R+5,Yes,OH-14
J000302,John Joyce,R,PA,13,R+22,Yes,PA-13
K000009,Marcy Kaptur,D,OH,9,D+14,No,OH-09
K000386,John Katko,R,NY,24,D+3,Not Voting,NY-24
K000375,Bill Keating,D,MA,9,D+4,No,MA-09
K000385,Robin Kelly,D,IL,2,D+29,No,IL-02
K000388,Trent Kelly,R,MS,1,R+16,Yes,MS-01
K000376,Mike Kelly,R,PA,16,R+8,Yes,PA-16
K000379,Joseph P. Kennedy III,D,MA,4,D+9,No,MA-04
K000389,Ro Khanna,D,CA,17,D+25,No,CA-17
K000380,Dan Kildee,D,MI,5,D+5,No,MI-05
K000381,Derek Kilmer,D,WA,6,D+6,No,WA-06
K000394,Andy Kim,D,NJ,3,R+2,Yes,NJ-03
K000188,Ron Kind,D,WI,3,EVEN,No,WI-03
K000362,Steve King,R,IA,4,R+11,Yes,IA-04
K000210,Peter T. King,R,NY,2,R+3,Yes,NY-02
K000378,Adam Kinzinger,R,IL,16,R+8,Yes,IL-16
K000368,Ann Kirkpatrick,D,AZ,2,R+1,No,AZ-02
K000391,Raja Krishnamoorthi,D,IL,8,D+8,No,IL-08
K000382,Ann McLane Kuster,D,NH,2,D+2,No,NH-02
K000392,David Kustoff,R,TN,8,R+19,Yes,TN-08
L000585,Darin M. LaHood,R,IL,18,R+15,Yes,IL-18
L000578,Doug LaMalfa,R,CA,1,R+11,Yes,CA-01
L000588,Conor Lamb,D,PA,17,R+3,Yes,PA-17
L000564,Doug Lamborn,R,CO,5,R+14,Yes,CO-05
L000559,Jim Langevin,D,RI,2,D+6,No,RI-02
L000560,Rick Larsen,D,WA,2,D+10,No,WA-02
L000557,John B. Larson,D,CT,1,D+12,No,CT-01
L000566,Robert E. Latta,R,OH,5,R+11,Yes,OH-05
L000581,Brenda Lawrence,D,MI,14,D+30,No,MI-14
L000586,Al Lawson,D,FL,5,D+12,No,FL-05
L000551,Barbara Lee,D,CA,13,D+40,No,CA-13
L000590,Susie Lee,D,NV,3,R+2,Yes,NV-03
L000589,Debbie Lesko,R,AZ,8,R+13,Yes,AZ-08
L000593,Mike Levin,D,CA,49,R+1,No,CA-49
L000592,Andy Levin,D,MI,9,D+4,No,MI-09
L000287,John Lewis,D,GA,5,D+34,No,GA-05
L000582,Ted Lieu,D,CA,33,D+16,No,CA-33
L000563,Daniel Lipinski,D,IL,3,D+6,No,IL-03
L000565,Dave Loebsack,D,IA,2,D+1,No,IA-02
L000397,Zoe Lofgren,D,CA,19,D+24,No,CA-19
L000576,Billy Long,R,MO,7,R+23,Yes,MO-07
L000583,Barry Loudermilk,R,GA,11,R+17,Yes,GA-11
L000579,Alan Lowenthal,D,CA,47,D+13,No,CA-47
L000480,Nita M. Lowey,D,NY,17,D+7,No,NY-17
L000491,Frank D. Lucas,R,OK,3,R+27,Yes,OK-03
L000569,Blaine Luetkemeyer,R,MO,3,R+18,Yes,MO-03
L000570,Ben Ray LujÃ¡n,D,NM,3,D+8,No,NM-03
L000591,Elaine Luria,D,VA,2,R+8,Yes,VA-02
L000562,Stephen F. Lynch,D,MA,8,D+10,No,MA-08
M001203,Tom Malinowski,D,NJ,7,R+3,No,NJ-07
M000087,Carolyn B. Maloney,D,NY,12,D+31,No,NY-12
M001185,Sean Patrick Maloney,D,NY,18,R+1,No,NY-18
M001158,Kenny Marchant,R,TX,24,R+9,Yes,TX-24
M001198,Roger Marshall,R,KS,1,R+24,Yes,KS-01
M001184,Thomas Massie,R,KY,4,R+18,Yes,KY-04
M001199,Brian Mast,R,FL,18,R+5,Yes,FL-18
M001163,Doris Matsui,D,CA,6,D+21,No,CA-06
M001209,Ben McAdams,D,UT,4,R+13,Yes,UT-04
M001208,Lucy McBath,D,GA,6,R+8,No,GA-06
M001165,Kevin McCarthy,R,CA,23,R+14,Yes,CA-23
M001157,Michael McCaul,R,TX,10,R+9,Yes,TX-10
M001177,Tom McClintock,R,CA,4,R+10,Yes,CA-04
M001143,Betty McCollum,D,MN,4,D+14,No,MN-04
M001200,A. Donald McEachin,D,VA,4,D+16,No,VA-04
M000312,Jim McGovern,D,MA,2,D+9,No,MA-02
M001156,Patrick T. McHenry,R,NC,10,R+12,Yes,NC-10
M001180,David McKinley,R,WV,1,R+19,Yes,WV-01
M001166,Jerry McNerney,D,CA,9,D+8,No,CA-09
M001187,Mark Meadows,R,NC,11,R+14,Yes,NC-11
M001137,Gregory W. Meeks,D,NY,5,D+37,No,NY-05
M001188,Grace Meng,D,NY,6,D+16,No,NY-06
M001204,Daniel Meuser,R,PA,9,R+14,Yes,PA-09
M001205,Carol Miller,R,WV,3,R+23,Yes,WV-03
M001201,Paul Mitchell,R,MI,10,R+13,Yes,MI-10
M001194,John Moolenaar,R,MI,4,R+10,Yes,MI-04
M001195,Alex Mooney,R,WV,2,R+17,Yes,WV-02
M001160,Gwen Moore,D,WI,4,D+25,No,WI-04
M001206,Joe Morelle,D,NY,25,D+8,No,NY-25
M001196,Seth Moulton,D,MA,6,D+6,No,MA-06
M001207,Debbie Mucarsel-Powell,D,FL,26,D+6,No,FL-26
M001190,Markwayne Mullin,R,OK,2,R+24,Yes,OK-02
M001202,Stephanie Murphy,D,FL,7,EVEN,Yes,FL-07
N000002,Jerrold Nadler,D,NY,10,D+26,No,NY-10
N000179,Grace F. Napolitano,D,CA,32,D+17,No,CA-32
N000015,Richard E. Neal,D,MA,1,D+12,No,MA-01
N000191,Joe Neguse,D,CO,2,D+9,No,CO-02
N000189,Dan Newhouse,R,WA,4,R+13,Yes,WA-04
N000188,Donald W. Norcross,D,NJ,1,D+13,No,NJ-01
N000190,Ralph Norman,R,SC,5,R+9,Yes,SC-05
N000181,Devin Nunes,R,CA,22,R+8,Yes,CA-22
O000171,Tom O'Halleran,D,AZ,1,R+2,Yes,AZ-01
O000172,Alexandria Ocasio-Cortez,D,NY,14,D+29,No,NY-14
O000168,Pete Olson,R,TX,22,R+10,Yes,TX-22
O000173,Ilhan Omar,D,MN,5,D+26,No,MN-05
P000601,Steven Palazzo,R,MS,4,R+21,Yes,MS-04
P000034,Frank Pallone,D,NJ,6,D+9,No,NJ-06
P000609,Gary Palmer,R,AL,6,R+26,Yes,AL-06
P000613,Jimmy Panetta,D,CA,20,D+23,No,CA-20
P000614,Chris Pappas,D,NH,1,R+2,No,NH-01
P000096,Bill Pascrell Jr.,D,NJ,9,D+16,No,NJ-09
P000604,Donald M. Payne Jr.,D,NJ,10,D+36,No,NJ-10
P000197,Nancy Pelosi,D,CA,12,D+37,No,CA-12
P000615,Greg Pence,R,IN,6,R+18,Yes,IN-06
P000593,Ed Perlmutter,D,CO,7,D+6,No,CO-07
P000605,Scott Perry,R,PA,10,R+6,Yes,PA-10
P000608,Scott Peters,D,CA,52,D+6,No,CA-52
P000258,Collin C. Peterson,D,MN,7,R+12,Yes,MN-07
P000616,Dean Phillips,D,MN,3,D+1,No,MN-03
P000597,Chellie Pingree,D,ME,1,D+8,No,ME-01
P000607,Mark Pocan,D,WI,2,D+18,No,WI-02
P000618,Katie Porter,D,CA,45,R+3,No,CA-45
P000599,Bill Posey,R,FL,8,R+11,Yes,FL-08
P000617,Ayanna Pressley,D,MA,7,D+34,No,MA-07
P000523,David E. Price,D,NC,4,D+17,No,NC-04
Q000023,Mike Quigley,D,IL,5,D+20,No,IL-05
R000606,Jamie Raskin,D,MD,8,D+14,No,MD-08
R000601,John Ratcliffe,R,TX,4,R+28,Yes,TX-04
R000585,Tom Reed,R,NY,23,R+6,Yes,NY-23
R000610,Guy Reschenthaler,R,PA,14,R+14,Yes,PA-14
R000602,Kathleen Rice,D,NY,4,D+4,No,NY-04
R000597,Tom Rice,R,SC,7,R+9,Yes,SC-07
R000588,Cedric Richmond,D,LA,2,D+25,No,LA-02
R000611,Denver Riggleman,R,VA,5,D+10,Yes,VA-05
R000591,Martha Roby,R,AL,2,R+16,Yes,AL-02
M001159,Cathy McMorris Rodgers,R,WA,5,R+8,Yes,WA-05
R000582,Phil Roe,R,TN,1,R+28,Yes,TN-01
R000575,Mike D. Rogers,R,AL,3,R+16,Yes,AL-03
R000395,Harold Rogers,R,KY,5,R+31,Yes,KY-05
R000607,Francis Rooney,R,FL,19,R+13,Yes,FL-19
R000613,Max Rose,D,NY,11,R+3,Yes,NY-11
R000612,John Rose,R,TN,6,R+24,Yes,TN-06
R000616,Harley Rouda,D,CA,48,R+4,No,CA-48
R000603,David Rouzer,R,NC,7,R+9,Yes,NC-07
R000614,Chip Roy,R,TX,21,R+10,Yes,TX-21
R000486,Lucille Roybal-Allard,D,CA,40,D+33,No,CA-40
R000599,Raul Ruiz,D,CA,36,D+2,No,CA-36
R000576,C.A. Dutch Ruppersberger,D,MD,2,D+11,No,MD-02
R000515,Bobby L. Rush,D,IL,1,D+27,No,IL-01
R000609,John Rutherford,R,FL,4,R+17,Yes,FL-04
R000577,Tim Ryan,D,OH,13,D+7,No,OH-13
S001156,Linda T. SÃ¡nchez,D,CA,38,D+17,No,CA-38
S001168,John Sarbanes,D,MD,3,D+13,No,MD-03
S001176,Steve Scalise,R,LA,1,R+24,Yes,LA-01
S001205,Mary Gay Scanlon,D,PA,5,D+13,No,PA-05
S001145,Jan Schakowsky,D,IL,9,D+18,No,IL-09
S001150,Adam B. Schiff,D,CA,28,D+23,No,CA-28
S001190,Brad Schneider,D,IL,10,D+10,No,IL-10
S001180,Kurt Schrader,D,OR,5,EVEN,Yes,OR-05
S001216,Kim Schrier,D,WA,8,EVEN,No,WA-08
S001183,David Schweikert,R,AZ,6,R+9,Yes,AZ-06
S000185,Robert C. Scott,D,VA,3,R+3,No,VA-03
S001189,Austin Scott,R,GA,8,R+15,Yes,GA-08
S001157,David Scott,D,GA,13,D+20,No,GA-13
S000244,F. James Sensenbrenner,R,WI,5,R+13,Yes,WI-05
S000248,JosÃ© E. Serrano,D,NY,15,D+44,No,NY-15
S001185,Terri Sewell,D,AL,7,D+20,No,AL-07
S001206,Donna Shalala,D,FL,27,D+5,No,FL-27
S000344,Brad Sherman,D,CA,30,D+18,No,CA-30
S001207,Mikie Sherrill,D,NJ,11,R+3,Yes,NJ-11
S000364,John Shimkus,R,IL,15,R+21,Yes,IL-15
S001148,Mike Simpson,R,ID,2,R+17,Yes,ID-02
S001165,Albio Sires,D,NJ,8,D+27,No,NJ-08
S001208,Elissa Slotkin,D,MI,8,R+4,Yes,MI-08
S001195,Jason Smith,R,MO,8,R+24,Yes,MO-08
S001172,Adrian Smith,R,NE,3,R+27,Yes,NE-03
S000522,Christopher H. Smith,R,NJ,4,R+8,Yes,NJ-04
S000510,Adam Smith,D,WA,9,D+21,No,WA-09
S001199,Lloyd Smucker,R,PA,11,R+14,Yes,PA-11
S001200,Darren Soto,D,FL,9,D+5,No,FL-09
S001209,Abigail Spanberger,D,VA,7,R+13,Yes,VA-07
S001210,Ross Spano,R,FL,15,R+6,Yes,FL-15
S001175,Jackie Speier,D,CA,14,D+27,No,CA-14
S001211,Greg Stanton,D,AZ,9,D+4,No,AZ-09
S001212,Pete Stauber,R,MN,8,R+4,Yes,MN-08
S001196,Elise Stefanik,R,NY,21,R+4,Yes,NY-21
S001213,Bryan Steil,R,WI,1,R+5,Yes,WI-01
S001214,Greg Steube,R,FL,17,R+13,Yes,FL-17
S001215,Haley Stevens,D,MI,11,R+4,No,MI-11
S001192,Chris Stewart,R,UT,2,R+16,Yes,UT-02
S001187,Steve Stivers,R,OH,15,R+7,Yes,OH-15
S001201,Thomas Suozzi,D,NY,3,D+1,No,NY-03
S001193,Eric Swalwell,D,CA,15,D+20,No,CA-15
T000472,Mark Takano,D,CA,41,D+12,No,CA-41
T000479,Van Taylor,R,TX,3,R+13,Yes,TX-03
T000460,Mike Thompson,D,CA,5,D+21,No,CA-05
T000193,Bennie Thompson,D,MS,2,D+14,No,MS-02
T000467,Glenn Thompson,R,PA,15,R+20,Yes,PA-15
T000238,William M. Thornberry,R,TX,13,R+33,Yes,TX-13
T000480,William Timmons,R,SC,4,R+15,Yes,SC-04
T000470,Scott Tipton,R,CO,3,R+6,Yes,CO-03
T000468,Dina Titus,D,NV,1,D+15,No,NV-01
T000481,Rashida Tlaib,D,MI,13,D+32,No,MI-13
T000469,Paul Tonko,D,NY,20,D+7,No,NY-20
T000474,Norma Torres,D,CA,35,D+19,No,CA-35
T000484,Xochitl Torres Small,D,NM,2,R+6,Yes,NM-02
T000482,Lori Trahan,D,MA,3,D+9,No,MA-03
T000483,David Trone,D,MD,6,D+6,No,MD-06
T000463,Michael R. Turner,R,OH,10,R+4,Yes,OH-10
U000040,Lauren Underwood,D,IL,14,R+5,No,IL-14
U000031,Fred Upton,R,MI,6,R+4,Yes,MI-06
V000133,Jefferson Van Drew,D,NJ,2,R+1,Yes,NJ-02
V000130,Juan Vargas,D,CA,51,D+22,No,CA-51
V000131,Marc Veasey,D,TX,33,D+23,No,TX-33
V000132,Filemon Vela,D,TX,34,D+10,No,TX-34
V000081,Nydia M. VelÃ¡zquez,D,NY,7,D+38,No,NY-07
V000108,Peter J. Visclosky,D,IN,1,D+8,No,IN-01
W000812,Ann Wagner,R,MO,2,R+8,Yes,MO-02
W000798,Tim Walberg,R,MI,7,R+7,Yes,MI-07
W000791,Greg Walden,R,OR,2,R+11,Yes,OR-02
W000819,Mark Walker,R,NC,6,R+9,Yes,NC-06
W000813,Jackie Walorski,R,IN,2,R+11,Yes,IN-02
W000823,Michael Waltz,R,FL,6,R+7,Yes,FL-06
W000797,Debbie Wasserman Schultz,D,FL,23,D+11,No,FL-23
W000187,Maxine Waters,D,CA,43,D+29,No,CA-43
W000824,Steven Watkins,R,KS,2,R+10,Yes,KS-02
W000822,Bonnie Watson Coleman,D,NJ,12,D+16,No,NJ-12
W000814,Randy Weber,R,TX,14,R+12,Yes,TX-14
W000806,Daniel Webster,R,FL,11,R+15,Yes,FL-11
W000800,Peter Welch,D,VT,1,D+15,No,VT-01
W000815,Brad Wenstrup,R,OH,2,R+9,Yes,OH-02
W000821,Bruce Westerman,R,AR,4,R+17,Yes,AR-04
W000825,Jennifer Wexton,D,VA,10,R+19,No,VA-10
W000826,Susan Wild,D,PA,7,D+1,No,PA-07
W000816,Roger Williams,R,TX,25,R+11,Yes,TX-25
W000808,Frederica Wilson,D,FL,24,D+34,No,FL-24
W000795,Joe Wilson,R,SC,2,R+12,Yes,SC-02
W000804,Robert J. Wittman,R,VA,1,D+15,Yes,VA-01
W000809,Steve Womack,R,AR,3,R+19,Yes,AR-03
W000810,Rob Woodall,R,GA,7,R+9,Yes,GA-07
W000827,Ron Wright,R,TX,6,R+9,Yes,TX-06
Y000062,John Yarmuth,D,KY,3,D+6,No,KY-03
Y000065,Ted Yoho,R,FL,3,R+9,Yes,FL-03
Y000033,Don Young,R,AK,1,R+9,Yes,AK-01
Z000017,Lee Zeldin,R,NY,1,R+5,Yes,NY-01
